file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending,finger_span,hand_position,in_scale_pattern,is_first_in_measure,is_last_in_measure,pp_speed_cost,pp_hand_stretch,pp_forbidden,pp_black_penalty,pp_prediction,pp_confidence
annotated_Piano7_candace_page2,3,C#5,3.0,P1,73,True,-3.0,3.0,1,10,0.1,0,5.0,1.0,1,0,0,6,1,0,0,1,3.0,63.0,0,0,0,0.8264462809917354,1.0,0,1.1,5,0.4521965983363043
annotated_Piano7_candace_page2,3,A4,1.0,P1,69,True,-4.0,4.0,2,10,0.2,0,3.0,3.0,0,0,0,5,0,0,0,1,4.0,66.4,0,0,0,0.9090909090909091,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,3,C5,3.0,P1,72,True,3.0,3.0,3,10,0.3,0,1.0,5.0,0,0,0,6,0,0,1,0,3.0,69.0,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,3,A3,5.0,P1,57,True,-15.0,15.0,4,10,0.4,0,3.0,1.0,0,0,1,4,0,1,0,1,15.0,69.4,0,0,0,1.5625,0.9166666666666666,0,1.0,3,0.0
annotated_Piano7_candace_page2,3,E4,1.0,P1,64,True,7.0,7.0,5,10,0.5,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,67.0,0,0,0,0.9090909090909091,0.9166666666666666,0,1.0,5,0.0
annotated_Piano7_candace_page2,3,C#4,3.0,P1,61,True,-3.0,3.0,6,10,0.6,0,1.0,5.0,1,0,0,5,0,0,0,1,3.0,64.6,0,0,0,0.8264462809917354,1.0,0,1.1,1,0.0
annotated_Piano7_candace_page2,3,F3,5.0,P1,53,True,-8.0,8.0,7,10,0.7,0,3.0,1.0,0,0,1,4,0,1,0,1,8.0,61.4,0,0,0,1.5625,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,3,C4,1.0,P1,60,True,7.0,7.0,8,10,0.8,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,59.0,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page2,3,A3,3.0,P1,57,True,-3.0,3.0,9,10,0.9,0,1.0,3.0,0,0,0,4,0,1,0,1,3.0,59.0,0,0,1,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,4,E5,3.0,P1,76,True,19.0,19.0,0,7,0.0,0,3.0,1.0,0,0,1,6,1,0,1,0,19.0,61.4,0,1,0,1.1363636363636362,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,4,C#5,1.0,P1,73,True,-3.0,3.0,1,7,0.14285714285714285,0,3.0,1.0,1,0,0,6,1,0,0,1,3.0,63.8,0,0,0,1.8181818181818181,1.0,0,0.5,3,0.0
annotated_Piano7_candace_page2,4,A4,1.0,P1,69,True,-4.0,4.0,2,7,0.2857142857142857,0,1.0,1.0,0,0,0,5,0,0,0,1,4.0,67.0,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,4,A3,1.0,P1,57,True,-12.0,12.0,3,7,0.42857142857142855,0,1.0,1.0,0,0,1,4,0,1,0,1,12.0,66.4,0,0,0,1.1363636363636362,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,4,E3,1.0,P1,52,True,-5.0,5.0,4,7,0.5714285714285714,0,1.0,3.0,0,0,0,4,0,1,0,1,5.0,65.4,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.15244102117431024
annotated_Piano7_candace_page2,4,C#4,3.0,P1,61,True,9.0,9.0,5,7,0.7142857142857143,0,1.0,1.0,1,0,1,5,0,0,1,0,9.0,62.4,0,0,0,1.0330578512396693,1.0,0,1.1,1,0.3167447649399523
