file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page1,9,C4,3.0,P1,60,True,8.0,8.0,6,8,0.75,0,5.0,1.0,0,0,1,5,0,0,1,0
annotated_Piano7_candace_page1,9,E3,1.0,P1,52,True,-8.0,8.0,7,8,0.875,0,3.0,0.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,1,G5,5.0,P1,79,True,0.0,0.0,0,7,0.0,0,0.0,3.0,0,1,0,6,1,0,0,0
annotated_Piano7_candace_page2,1,D5,3.0,P1,74,True,-5.0,5.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,1,0,0,1
annotated_Piano7_candace_page2,1,B4,1.0,P1,71,True,-3.0,3.0,2,7,0.2857142857142857,0,3.0,4.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,1,F#5,4.0,P1,78,True,7.0,7.0,3,7,0.42857142857142855,0,1.0,5.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,1,E3,5.0,P1,52,True,-26.0,26.0,4,7,0.5714285714285714,0,4.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,1,B3,1.0,P1,59,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,4,0,1,1,0
annotated_Piano7_candace_page2,1,G3,3.0,P1,55,True,-4.0,4.0,6,7,0.8571428571428571,0,1.0,5.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,2,G5,5.0,P1,79,True,24.0,24.0,0,7,0.0,0,3.0,3.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,2,D5,3.0,P1,74,True,-5.0,5.0,1,7,0.14285714285714285,0,5.0,1.0,0,0,0,6,1,0,0,1
annotated_Piano7_candace_page2,2,B4,1.0,P1,71,True,-3.0,3.0,2,7,0.2857142857142857,0,3.0,4.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,2,F#5,4.0,P1,78,True,7.0,7.0,3,7,0.42857142857142855,0,1.0,5.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,2,E3,5.0,P1,52,True,-26.0,26.0,4,7,0.5714285714285714,0,4.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,2,B3,1.0,P1,59,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,4,0,1,1,0
annotated_Piano7_candace_page2,2,G3,3.0,P1,55,True,-4.0,4.0,6,7,0.8571428571428571,0,1.0,5.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,3,E5,5.0,P1,76,True,21.0,21.0,0,10,0.0,0,3.0,3.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,3,C#5,3.0,P1,73,True,-3.0,3.0,1,10,0.1,0,5.0,1.0,1,0,0,6,1,0,0,1
annotated_Piano7_candace_page2,3,A4,1.0,P1,69,True,-4.0,4.0,2,10,0.2,0,3.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,3,C5,3.0,P1,72,True,3.0,3.0,3,10,0.3,0,1.0,5.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page2,3,A3,5.0,P1,57,True,-15.0,15.0,4,10,0.4,0,3.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,3,E4,1.0,P1,64,True,7.0,7.0,5,10,0.5,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,3,C#4,3.0,P1,61,True,-3.0,3.0,6,10,0.6,0,1.0,5.0,1,0,0,5,0,0,0,1
